# TQE Heisenberg Fluctuation - WITH-LAW Scenario
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble: 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
time,mean_energy,std_energy,mean_entropy,mean_coherence,mean_uncertainty,std_uncertainty,mean_delta_x
6.020066889632107454e+00,7.953383443782177764e+00,2.717552619103013267e+00,2.011867115163896269e+00,9.559810276544450716e-03,2.001744435791021903e+00,1.713150036885742189e+00,1.244825069547378371e+00
6.060200668896321474e+00,7.949761542910168011e+00,2.714507658504871745e+00,2.015858699909663265e+00,9.540983226270638787e-03,2.008660200972481213e+00,1.715065520686870126e+00,1.248779046438929230e+00
6.100334448160535494e+00,7.945494590177622385e+00,2.711180179243040111e+00,2.019836878449749129e+00,9.519872232625176470e-03,2.015283217982615227e+00,1.716875968790235962e+00,1.252785905513480236e+00
6.140468227424749514e+00,7.940578945116435250e+00,2.707561550075887169e+00,2.023807420980030969e+00,9.496541126816547551e-03,2.021559123297043126e+00,1.718518424642874631e+00,1.256822311662511016e+00
6.180602006688963534e+00,7.935020229490877597e+00,2.703651422073547028e+00,2.027761294946494264e+00,9.470980759307105409e-03,2.027448225013444905e+00,1.719935824799094348e+00,1.260865667436262827e+00
6.220735785953177555e+00,7.928832795766911801e+00,2.699457444749764345e+00,2.031700232112943816e+00,9.443134794653080047e-03,2.032931042811760403e+00,1.721088147919740408e+00,1.264894682320334196e+00
6.260869565217391575e+00,7.922038789561275607e+00,2.694994209077253178e+00,2.035625285680454422e+00,9.413134987039155355e-03,2.038012005126125903e+00,1.721959052616143016e+00,1.268889865152228680e+00
6.301003344481605595e+00,7.914666931855681042e+00,2.690281636491345107e+00,2.039534235353178016e+00,9.381059675024729441e-03,2.042721039957564155e+00,1.722558719117588844e+00,1.272833874191976022e+00
6.341137123745819615e+00,7.906751091123279451e+00,2.685342959045082356e+00,2.043425516531752084e+00,9.347109107500724615e-03,2.047112699139919556e+00,1.722922358363988327e+00,1.276711681402296295e+00
6.381270903010033635e+00,7.898328874107823694e+00,2.680202717467427220e+00,2.047300490682201435e+00,9.311479166306549371e-03,2.051262862268533826e+00,1.723104953919486926e+00,1.280510543537664692e+00
6.421404682274247655e+00,7.889440346214018795e+00,2.674885000993558304e+00,2.051156651329344438e+00,9.274043464198345604e-03,2.055263562255034593e+00,1.723173835533589493e+00,1.284219811803455347e+00
6.461538461538461675e+00,7.880127020819781336e+00,2.669412124498356409e+00,2.054994571709059858e+00,9.235067124961362020e-03,2.059216522639024660e+00,1.723200666873253795e+00,1.287830566727438120e+00
6.501672240802675695e+00,7.870431171700956519e+00,2.663803895826464263e+00,2.058815174070826259e+00,9.194974560629736934e-03,2.063226243934381809e+00,1.723254300645479020e+00,1.291335188460876360e+00
6.541806020066889715e+00,7.860395517226149487e+00,2.658077506561043357e+00,2.062613268167483138e+00,9.153607945051094041e-03,2.067393403915321226e+00,1.723395449921671929e+00,1.294726871698204329e+00
6.581939799331103735e+00,7.850063254004947311e+00,2.652248004661777347e+00,2.066394544271339839e+00,9.110920075792701758e-03,2.071809176321911750e+00,1.723673549652125381e+00,1.297999143038691683e+00
6.622073578595317755e+00,7.839478377958004174e+00,2.646329252512567010e+00,2.070157209410083521e+00,9.067042846946983883e-03,2.076550892179753305e+00,1.724125688516403798e+00,1.301145428905670753e+00
6.662207357859531776e+00,7.828686172156807288e+00,2.640335185674150598e+00,2.073901415061087494e+00,9.022205239682700925e-03,2.081679254469675833e+00,1.724777215804897734e+00,1.304158742651201797e+00
6.702341137123745796e+00,7.817733765464419449e+00,2.634281172477440425e+00,2.077624219311663634e+00,8.976546062782315982e-03,2.087237039150884765e+00,1.725643338431646079e+00,1.307031461707787612e+00
6.742474916387959816e+00,7.806670623025500078e+00,2.628185225325180063e+00,2.081327168448355192e+00,8.930152184727483539e-03,2.093249074896435857e+00,1.726731073164414099e+00,1.309755237365174407e+00
6.782608695652173836e+00,7.795548818295855220e+00,2.622068843266628146e+00,2.085011646160466192e+00,8.883285980213267638e-03,2.099723185343266962e+00,1.728040929524676805e+00,1.312321078625756421e+00
6.822742474916387856e+00,7.784423022494679323e+00,2.615957312342653829e+00,2.088676961527238696e+00,8.836284278371521819e-03,2.106651721767887508e+00,1.729567862972607895e+00,1.314719554848810201e+00
6.862876254180601876e+00,7.773350151526000396e+00,2.609879372308915979e+00,2.092323574143266640e+00,8.789651830978302549e-03,2.114013342942292262e+00,1.731301315523008144e+00,1.316941127765133279e+00
6.903010033444815896e+00,7.762388661331737438e+00,2.603866255159934084e+00,2.095947916180682213e+00,8.743245960640150943e-03,2.121774752450360513e+00,1.733224361524612123e+00,1.318976571483074123e+00
6.943143812709029916e+00,7.751597545991522509e+00,2.597950215642955918e+00,2.099553081265524312e+00,8.696677173959809978e-03,2.129892184477489181e+00,1.735312297573549101e+00,1.320817447448751736e+00
6.983277591973243936e+00,7.745545993442849664e+00,2.594765756193802453e+00,2.101601644360075571e+00,8.669629450457820227e-03,2.134679744137111257e+00,1.736567364649791889e+00,1.321791176060421513e+00
7.023411371237457956e+00,7.735353648929594428e+00,2.589395574428210445e+00,2.105095241773698778e+00,8.623442423797532050e-03,2.143098517629399069e+00,1.738803935482160057e+00,1.323302273196454992e+00
7.063545150501672865e+00,7.725437597545528945e+00,2.584159461700662241e+00,2.108575557855716820e+00,8.577428138639944799e-03,2.151738416994489977e+00,1.741110821709475065e+00,1.324611830611275964e+00
7.103678929765886885e+00,7.715849260360052142e+00,2.579079160794193193e+00,2.112036788070818627e+00,8.532068770499496094e-03,2.160529520274335979e+00,1.743432427220198644e+00,1.325717309381646114e+00
