universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
3236,1422434020,13.603045603017058,0.0,13.603045603017058,1,0,687,-1,,,0,0.0,0.0,0.0,13.603045603017058,2.610293709069261,2.610293709069261,0.5578,0.5578,
3237,3247204440,4.6427332924147136,0.0,4.6427332924147136,0,0,-1,-1,,,0,0.0,0.0,0.0,4.6427332924147136,1.5353032644448892,1.5353032644448892,0.115,0.115,
3238,3507958385,6.20323413882349,0.0,6.20323413882349,0,0,-1,-1,,,0,0.0,0.0,0.0,6.20323413882349,1.8250707913409228,1.8250707913409228,0.2011,0.2011,
3239,3473343735,13.919675236892552,0.0,13.919675236892552,1,0,622,-1,,,0,0.0,0.0,0.0,13.919675236892552,2.6333033239511745,2.6333033239511745,0.5706,0.5706,
3240,1972567063,20.771353109885187,0.0,20.771353109885187,1,0,218,-1,,,0,0.0,0.0,0.0,20.771353109885187,3.033574783088423,3.033574783088423,0.7517,0.7517,
3241,3360914724,12.279568429460834,0.0,12.279568429460834,0,0,-1,-1,,,0,0.0,0.0,0.0,12.279568429460834,2.507936777920793,2.507936777920793,0.5038,0.5038,
3242,646365808,18.832831975618394,0.0,18.832831975618394,1,0,846,-1,,,0,0.0,0.0,0.0,18.832831975618394,2.9356017283663745,2.9356017283663745,0.7123,0.7123,
3243,948989616,7.628028885631734,0.0,7.628028885631734,0,0,-1,-1,,,0,0.0,0.0,0.0,7.628028885631734,2.031829474520821,2.031829474520821,0.2795,0.2795,
3244,2571862921,14.148686219869477,0.0,14.148686219869477,0,0,-1,-1,,,0,0.0,0.0,0.0,14.148686219869477,2.649621773126466,2.649621773126466,0.5777,0.5777,
3245,4047911670,3.834590026476626,0.0,3.834590026476626,1,0,754,-1,,,0,0.0,0.0,0.0,3.834590026476626,1.3440625259697636,1.3440625259697636,0.0757,0.0757,
3246,4231959443,21.128103842316065,0.0,21.128103842316065,1,1,692,929,,,0,0.0,0.0,0.0,21.128103842316065,3.050604089897419,3.050604089897419,0.7578,0.7578,
3247,452181617,3.1432415900122064,0.0,3.1432415900122064,0,0,-1,-1,,,0,0.0,0.0,0.0,3.1432415900122064,1.1452546209171317,1.1452546209171317,0.0455,0.0455,
3248,2815100425,9.454838496000393,0.0,9.454838496000393,1,0,842,-1,,,0,0.0,0.0,0.0,9.454838496000393,2.246526620632052,2.246526620632052,0.3717,0.3717,
3249,3911703944,6.037080906696986,0.0,6.037080906696986,0,0,-1,-1,,,0,0.0,0.0,0.0,6.037080906696986,1.7979206015296847,1.7979206015296847,0.1928,0.1928,
3250,1181410862,11.450646588979565,0.0,11.450646588979565,0,0,-1,-1,,,0,0.0,0.0,0.0,11.450646588979565,2.438046199059166,2.438046199059166,0.4659,0.4659,
3251,4282590508,23.847905405308595,0.0,23.847905405308595,1,1,438,664,,,0,0.0,0.0,0.0,23.847905405308595,3.1716963898008785,3.1716963898008785,0.8045,0.8045,
3252,3603222528,10.159374643883007,0.0,10.159374643883007,1,1,746,961,,,0,0.0,0.0,0.0,10.159374643883007,2.3183968894571896,2.3183968894571896,0.408,0.408,
3253,831818568,2.8347197313313206,0.0,2.8347197313313206,0,0,-1,-1,,,0,0.0,0.0,0.0,2.8347197313313206,1.041943072092484,1.041943072092484,0.033,0.033,
3254,748026689,6.70514940404615,0.0,6.70514940404615,1,1,362,871,,,0,0.0,0.0,0.0,6.70514940404615,1.9028757989681875,1.9028757989681875,0.2278,0.2278,
3255,104784971,15.708391664076904,0.0,15.708391664076904,1,1,598,776,,,0,0.0,0.0,0.0,15.708391664076904,2.75419507045622,2.75419507045622,0.6291,0.6291,
3256,2519152258,16.970033739819346,0.0,16.970033739819346,1,0,923,-1,,,0,0.0,0.0,0.0,16.970033739819346,2.831449067448068,2.831449067448068,0.6651,0.6651,
3257,2964921599,32.804154494909554,0.0,32.804154494909554,1,1,147,919,,,0,0.0,0.0,0.0,32.804154494909554,3.4905551687994163,3.4905551687994163,0.8953,0.8953,
3258,3659777804,11.54679862886112,0.0,11.54679862886112,0,0,-1,-1,,,0,0.0,0.0,0.0,11.54679862886112,2.4464082235574227,2.4464082235574227,0.4698,0.4698,
3259,136779678,10.511407439279193,0.0,10.511407439279193,1,1,470,577,,,0,0.0,0.0,0.0,10.511407439279193,2.352461090221922,2.352461090221922,0.424,0.424,
3260,2382229763,10.495236439076074,0.0,10.495236439076074,0,0,-1,-1,,,0,0.0,0.0,0.0,10.495236439076074,2.3509214817541375,2.3509214817541375,0.4223,0.4223,
3261,1508329636,7.342871655672269,0.0,7.342871655672269,0,0,-1,-1,,,0,0.0,0.0,0.0,7.342871655672269,1.993729999857411,1.993729999857411,0.2629,0.2629,
3262,2557767824,10.325640873936466,0.0,10.325640873936466,0,0,-1,-1,,,0,0.0,0.0,0.0,10.325640873936466,2.3346302070358353,2.3346302070358353,0.4145,0.4145,
3263,2963393899,13.713753359346237,0.0,13.713753359346237,0,0,-1,-1,,,0,0.0,0.0,0.0,13.713753359346237,2.618399224111505,2.618399224111505,0.562,0.562,
3264,2524757777,23.958300734611726,0.0,23.958300734611726,1,0,960,-1,,,0,0.0,0.0,0.0,23.958300734611726,3.1763148498062277,3.1763148498062277,0.8059,0.8059,
3265,3797404014,4.713803652808625,0.0,4.713803652808625,1,0,999,-1,,,0,0.0,0.0,0.0,4.713803652808625,1.5504951517180956,1.5504951517180956,0.1186,0.1186,
3266,3802862328,32.0633496736341,0.0,32.0633496736341,1,0,634,-1,,,0,0.0,0.0,0.0,32.0633496736341,3.4677136231220804,3.4677136231220804,0.8888,0.8888,
