universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,cold_min_z,cold_mean_z_topk,cold_count,cold_sigma_best,cold_flag,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
9038,3673903721,11.945987008242053,0.0,11.945987008242053,1,1,702,799,,,,,0,,,0,0.0,0.0,0.0,11.945987008242053,2.480395406769179,2.480395406769179,0.4899,0.4899,
9039,3904267118,6.001076832056366,0.0,6.001076832056366,1,0,950,-1,,,,,0,,,0,0.0,0.0,0.0,6.001076832056366,1.7919389251344418,1.7919389251344418,0.1822,0.1822,
9040,3091723302,6.562386324688732,0.0,6.562386324688732,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.562386324688732,1.8813543058156745,1.8813543058156745,0.2137,0.2137,
9041,3794074824,12.105306736351766,0.0,12.105306736351766,1,0,833,-1,,,,,0,,,0,0.0,0.0,0.0,12.105306736351766,2.4936439297098514,2.4936439297098514,0.4958,0.4958,
9042,1767591865,14.423089015729532,0.0,14.423089015729532,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,14.423089015729532,2.668830326372561,2.668830326372561,0.5845,0.5845,
9043,667036067,6.753713030278707,0.0,6.753713030278707,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.753713030278707,1.9100924322066433,1.9100924322066433,0.226,0.226,
9044,1650031540,9.166818192223047,0.0,9.166818192223047,1,1,420,717,,,,,0,,,0,0.0,0.0,0.0,9.166818192223047,2.215590245928601,2.215590245928601,0.3576,0.3576,
9045,2467471227,7.0823749762083095,0.0,7.0823749762083095,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,7.0823749762083095,1.9576093000724542,1.9576093000724542,0.2467,0.2467,
9046,88911882,2.2054058353514554,0.0,2.2054058353514554,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,2.2054058353514554,0.7909115442772989,0.7909115442772989,0.0154,0.0154,
9047,3484571589,27.295823472290888,0.0,27.295823472290888,1,1,224,501,,,,,0,,,0,0.0,0.0,0.0,27.295823472290888,3.306733704124372,3.306733704124372,0.8524,0.8524,
9048,4100595735,6.986058476023201,0.0,6.986058476023201,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.986058476023201,1.9439165168082686,1.9439165168082686,0.241,0.241,
9049,3626383567,27.460160832335752,0.0,27.460160832335752,1,1,177,836,,,,,0,,,0,0.0,0.0,0.0,27.460160832335752,3.312736257290508,3.312736257290508,0.8545,0.8545,
9050,139159304,13.456191388711414,0.0,13.456191388711414,1,0,612,-1,,,,,0,,,0,0.0,0.0,0.0,13.456191388711414,2.5994393264285214,2.5994393264285214,0.5478,0.5478,
9051,2525798532,36.329434932439575,0.0,36.329434932439575,1,1,394,920,,,,,0,,,0,0.0,0.0,0.0,36.329434932439575,3.5926282923670514,3.5926282923670514,0.9136,0.9136,
9052,2736302703,22.210616224749895,0.0,22.210616224749895,1,1,384,651,,,,,0,,,0,0.0,0.0,0.0,22.210616224749895,3.100570382895186,3.100570382895186,0.7829,0.7829,
9053,1123177767,16.987034028405773,0.0,16.987034028405773,1,0,574,-1,,,,,0,,,0,0.0,0.0,0.0,16.987034028405773,2.832450348838015,2.832450348838015,0.6625,0.6625,
9054,201384473,18.861840775246993,0.0,18.861840775246993,1,0,550,-1,,,,,0,,,0,0.0,0.0,0.0,18.861840775246993,2.9371408745235557,2.9371408745235557,0.7124,0.7124,
9055,4062274214,11.816879309795626,0.0,11.816879309795626,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,11.816879309795626,2.469528959335418,2.469528959335418,0.485,0.485,
9056,3761441414,14.411051068359537,0.0,14.411051068359537,1,0,661,-1,,,,,0,,,0,0.0,0.0,0.0,14.411051068359537,2.6679953475568734,2.6679953475568734,0.5842,0.5842,
9057,128624538,8.994079453615878,0.0,8.994079453615878,1,0,747,-1,,,,,0,,,0,0.0,0.0,0.0,8.994079453615878,2.1965665223785282,2.1965665223785282,0.3498,0.3498,
9058,2828608426,10.315160051507844,0.0,10.315160051507844,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,10.315160051507844,2.3336146627876015,2.3336146627876015,0.4154,0.4154,
9059,3439268517,16.72455670599207,0.0,16.72455670599207,1,1,556,803,,,,,0,,,0,0.0,0.0,0.0,16.72455670599207,2.8168781007896726,2.8168781007896726,0.6566,0.6566,
9060,3854389174,17.194063982476628,0.0,17.194063982476628,1,0,828,-1,,,,,0,,,0,0.0,0.0,0.0,17.194063982476628,2.844564206954915,2.844564206954915,0.669,0.669,
9061,3860368043,26.335287014145425,0.0,26.335287014145425,1,1,557,815,,,,,0,,,0,0.0,0.0,0.0,26.335287014145425,3.270909751457563,3.270909751457563,0.841,0.841,
9062,319034290,52.41372177172969,0.0,52.41372177172969,1,1,236,842,,,,,0,,,0,0.0,0.0,0.0,52.41372177172969,3.9591684229188364,3.9591684229188364,0.9652,0.9652,
9063,3615777530,7.765015332973819,0.0,7.765015332973819,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,7.765015332973819,2.049628431225207,2.049628431225207,0.2837,0.2837,
9064,2012177667,4.0620415159130685,0.0,4.0620415159130685,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,4.0620415159130685,1.401685683665803,1.401685683665803,0.083,0.083,
9065,2967501720,20.69044286162301,0.0,20.69044286162301,1,1,481,867,,,,,0,,,0,0.0,0.0,0.0,20.69044286162301,3.029671896150126,3.029671896150126,0.7533,0.7533,
9066,714360396,6.00103885422733,0.0,6.00103885422733,1,0,647,-1,,,,,0,,,0,0.0,0.0,0.0,6.00103885422733,1.791932596612033,1.791932596612033,0.1821,0.1821,
9067,3695163455,20.83013846935221,0.0,20.83013846935221,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,20.83013846935221,3.0364009028433543,3.0364009028433543,0.7561,0.7561,
9068,3259950077,9.778687843173595,0.0,9.778687843173595,1,0,795,-1,,,,,0,,,0,0.0,0.0,0.0,9.778687843173595,2.280205307680919,2.280205307680919,0.3878,0.3878,
9069,78724909,10.807803687555143,0.0,10.807803687555143,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,10.807803687555143,2.380268436869338,2.380268436869338,0.4383,0.4383,
9070,3434101792,7.291792056771606,0.0,7.291792056771606,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,7.291792056771606,1.9867493397850988,1.9867493397850988,0.2578,0.2578,
9071,3285847999,9.933981669016205,0.0,9.933981669016205,1,0,797,-1,,,,,0,,,0,0.0,0.0,0.0,9.933981669016205,2.295961371406348,2.295961371406348,0.3965,0.3965,
9072,1590030346,5.733724218814274,0.0,5.733724218814274,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,5.733724218814274,1.7463652705276425,1.7463652705276425,0.1674,0.1674,
9073,3272302846,8.92532734703625,0.0,8.92532734703625,1,1,513,832,,,,,0,,,0,0.0,0.0,0.0,8.92532734703625,2.188893004532286,2.188893004532286,0.3452,0.3452,
9074,2517383524,10.360282708049676,0.0,10.360282708049676,1,0,887,-1,,,,,0,,,0,0.0,0.0,0.0,10.360282708049676,2.3379795248808946,2.3379795248808946,0.4174,0.4174,
9075,2179399968,26.25705689614226,0.0,26.25705689614226,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,26.25705689614226,3.2679347870470017,3.2679347870470017,0.8396,0.8396,
9076,3239812375,7.014563855194628,0.0,7.014563855194628,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,7.014563855194628,1.9479885384491944,1.9479885384491944,0.2427,0.2427,
9077,2346408095,14.315538407281474,0.0,14.315538407281474,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,14.315538407281474,2.661345549249177,2.661345549249177,0.5807,0.5807,
9078,2224429474,3.2998682655100144,0.0,3.2998682655100144,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,3.2998682655100144,1.1938825481335116,1.1938825481335116,0.0494,0.0494,
9079,3198944631,41.15542272490785,0.0,41.15542272490785,1,1,369,486,,,,,0,,,0,0.0,0.0,0.0,41.15542272490785,3.717355697904084,3.717355697904084,0.935,0.935,
9080,730939840,47.85746570578594,0.0,47.85746570578594,1,0,964,-1,,,,,0,,,0,0.0,0.0,0.0,47.85746570578594,3.8682271288380687,3.8682271288380687,0.9543,0.9543,
9081,2062309119,5.891368650121064,0.0,5.891368650121064,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,5.891368650121064,1.773488339111907,1.773488339111907,0.1759,0.1759,
9082,1410517914,13.608886446631951,0.0,13.608886446631951,1,0,783,-1,,,,,0,,,0,0.0,0.0,0.0,13.608886446631951,2.6107229945528445,2.6107229945528445,0.5533,0.5533,
9083,3409970539,23.719387270159533,0.0,23.719387270159533,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,23.719387270159533,3.1662927420151252,3.1662927420151252,0.8055,0.8055,
9084,2050167535,6.29785152737339,0.0,6.29785152737339,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.29785152737339,1.8402085478335286,1.8402085478335286,0.199,0.199,
9085,4100107094,7.19191277081907,0.0,7.19191277081907,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,7.19191277081907,1.9729571684556206,1.9729571684556206,0.2519,0.2519,
